name,Invoice Line Amount,Payment Date,Expenditure Category/Description,LA Department
HSL COMPLIANCE LTD,"92,362.91", 03/04/2019,Water,Capital Housing Revenue Acc
MEARS LTD,"175,500.00", 08/04/2019,Refurbishment,Capital Housing Revenue Acc
GREENWICH SERVICE PLUS LIMITED,921.35, 05/04/2019,Cleaning Serv In House Trad,Eltham Crematorium Revenue
RGE SERVICES LIMITED,"1,136.40", 05/04/2019,Fire Equipment,Housing Services HRA
GREENWICH SERVICE PLUS LIMITED,921.35, 05/04/2019,Cleaning Serv In House Trad,Eltham Crematorium Revenue
CITY HEIGHTS(LONDON)LTD P WALKER A-F,"144,629.39", 08/04/2019,Refurbishment,Capital Housing Revenue Acc
TOPCOAT CONSTRUCTION LTD,"38,773.98", 05/04/2019,Expenditure Payments,Regeneration Enterprise Skills
LAKER BUILDING MANAGEMENT SOLUTIONS LTD,"20,011.15", 05/04/2019,Expenditure Payments,Regeneration Enterprise Skills
ADT FIRE AND SECURITY PLC,"3,619.63", 05/04/2019,Expenditure Payments,Regeneration Enterprise Skills
WOODS BUILDING SERVICES LTD T/AS AA WOODS,"18,828.00", 05/04/2019,Asbestos,Capital Housing Revenue Acc
NPOWER LTD,"1,206.42", 05/04/2019,Electricity,Comm Safety and Environment
ADT FIRE AND SECURITY PLC,"2,519.58", 05/04/2019,Expenditure Payments,Regeneration Enterprise Skills
ARGENT FM LIMITED,"6,971.88", 09/04/2019,Expenditure Payments,Regeneration Enterprise Skills
GREENWICH SERVICE PLUS LIMITED,"24,274.32", 05/04/2019,Manuals Ex Gratia Payment,Chief Executives
CHUBB FIRE LIMITED,"1,347.92", 05/04/2019,Other Services,Health and Adult Services
W J KING LIMITED,"1,091.00", 05/04/2019,Vehicle Fuel Ext Contractor,Comm Safety and Environment
W J KING LIMITED,167.94, 05/04/2019,Vehicle Fuel Ext Contractor,Comm Safety and Environment
W J KING LIMITED,-29.50, 05/04/2019,Vehicle Fuel Ext Contractor,Comm Safety and Environment
W J KING LIMITED,24.59, 05/04/2019,Vehicle Fuel Ext Contractor,Comm Safety and Environment
SERCO LTD,"24,300.00", 09/04/2019,Other Services,Childrens Services
ARGENT FM LIMITED,"18,393.66", 05/04/2019,Expenditure Payments,Regeneration Enterprise Skills
CHUBB FIRE LIMITED,562.20, 05/04/2019,Other Services,Health and Adult Services
ERITH CONTRACTORS LTD,"5,760.00", 05/04/2019,General Payments,Capital Housing Revenue Acc
