name,Invoice Line Amount,Payment Date,Expenditure Category/Description,LA Department
BARTS HEALTH NHS TRUST,"26,156.16", 11/01/2019,Medical Services,Health and Adult Services
BARTS HEALTH NHS TRUST,"35,122.24", 11/01/2019,Medical Services,Health and Adult Services
CITY OF LONDON CORPORATION,"30,000.00", 14/01/2019,Services Joint Authorities,Chief Executives
POHWER,"2,030.00", 08/01/2019,Services by External Providers,Health and Adult Services
MDP COMMUNICATION SERVICES,750.00, 08/01/2019,General Payments,Capital Housing Revenue Acc
REDACTED PERSONAL INFORMATION,770.00, 22/01/2019,Voluntary Bodies Other Care,Health and Adult Services
REDACTED PERSONAL INFORMATION,616.00, 22/01/2019,Voluntary Bodies Other Care,Health and Adult Services
REDACTED PERSONAL INFORMATION,616.00, 22/01/2019,Voluntary Bodies Other Care,Health and Adult Services
MEANTIME NOMINEE 1 LTD & MEANTIME NOMINEE 2 LTD,"106,336.00", 08/01/2019,Rents Other,Chief Executives
MEANTIME NOMINEE 1 LTD & MEANTIME NOMINEE 2 LTD,"106,336.00", 08/01/2019,Rents Other,Chief Executives
MEANTIME NOMINEE 1 LTD & MEANTIME NOMINEE 2 LTD,"24,404.64", 08/01/2019,Service Charges,Chief Executives
MEANTIME NOMINEE 1 LTD & MEANTIME NOMINEE 2 LTD,"24,404.55", 08/01/2019,Service Charges,Chief Executives
DANIEL WATNEY LLP,"3,600.00", 08/01/2019,Ext Architects Fees,Modernisation
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,569.89, 08/01/2019,Equipment,Housing Services HRA
UNDERLEY FURNISHINGS LTD T/AS FURNISHED HOMES,455.89, 08/01/2019,Equipment,Housing Services HRA
REDACTED PERSONAL INFORMATION,"2,549.50", 02/01/2019,Legal Fees,Childrens Services
REDACTED PERSONAL INFORMATION,"1,778.40", 02/01/2019,Services by External Providers,Childrens Services
CARMELCREST LTD,"44,402.05", 02/01/2019,Newbuild,Modernisation
REDACTED PERSONAL INFORMATION,"2,059.20", 02/01/2019,Services by External Providers,Childrens Services
COSMUR CONSTRUCTION (LONDON) LTD,"117,546.53", 02/01/2019,Roofs,Planned Maintenance
REDACTED PERSONAL INFORMATION,794.58, 02/01/2019,Agency Staff,Childrens Services
T & D BARRS PLUMBING AND HEATING LTD,"94,638.01", 02/01/2019,Roofs,Planned Maintenance
REDACTED PERSONAL INFORMATION,"2,005.60", 02/01/2019,Services Other Local Author,Childrens Services
BAM CONSTRUCTION LIMITED,"787,365.88", 02/01/2019,Newbuild,Modernisation
REDACTED PERSONAL INFORMATION,"3,509.80", 02/01/2019,Services Other Local Author,Childrens Services
REDACTED PERSONAL INFORMATION,"3,482.92", 02/01/2019,Services Other Local Author,Childrens Services
REDACTED PERSONAL INFORMATION,720.00, 02/01/2019,Other Services,Childrens Services
SOUTH EAST LONDON CHAMBER OF COMMERCE,709.09, 02/01/2019,ILM & Trainee Pay,Regeneration Enterprise and Sk
SAFE HOMES SE LIMITED,"45,431.30", 02/01/2019,Rents Other,Housing Services
MAHN ESTATES LTD,560.00, 02/01/2019,Rents Other,Housing Services
LAWSON VILLAS LTD,"2,240.00", 02/01/2019,Rents Other,Housing Services
REDACTED PERSONAL INFORMATION,"1,500.00", 02/01/2019,Landlord Incentive Payments,Housing Services
PRESTIGE NETWORK LTD,872.88, 02/01/2019,Agency Staff,Health and Adult Services
REDACTED PERSONAL INFORMATION,"1,500.00", 02/01/2019,Landlord Incentive Payments,Housing Services
LINK PROPERTY MANAGEMENT HOLDINGS LTD,"24,912.50", 02/01/2019,Rents Other,Housing Services
G G ELECTRICAL (LONDON) LTD,"2,162.52", 02/01/2019,General Payments,NS General Fund
G G ELECTRICAL (LONDON) LTD,-218.52, 02/01/2019,Ext Inc Other Recover Charges,Housing Services HRA
G G ELECTRICAL (LONDON) LTD,-6.00, 02/01/2019,Stationery,Housing Services HRA
JBW GROUP LIMITED,"3,392.06", 02/01/2019,Services Private Contractor,Regeneration Enterprise and Sk
JBW GROUP LIMITED,"-2,826.72", 02/01/2019,Services Private Contractor,Regeneration Enterprise and Sk
