Creditor_Name ,Invoice Line Amount,Payment_Date,LA Department,Expenditure Category/Description
VANBRUGH GROUP PRACTICE,£781.28, 02/07/2018,Health and Adult Services,Services by External Providers
THE CAMDEN SOCIETY,"£36,562.50", 02/07/2018,Health and Adult Services,Grants To Voluntary Organ
GREENWICH SERVICE PLUS LIMITED,£873.65, 02/07/2018,Comm Safety and Environment,Vehicle Repair In House Trad
NAJEEBULLAH  MOHAMMADI T/A WATERFRONT CAFE,"£3,577.25", 02/07/2018,Chief Executives,Catering
DR JANE CLARK,£855.00, 02/07/2018,Childrens Services,ASF Post Adoption Support
LONDON CARE LTD,"£1,172.89", 02/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,268.50", 02/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,"£1,268.50", 02/07/2018,Health and Adult Services,Greenwich Home Support
LONDON CARE LTD,£564.19, 02/07/2018,Health and Adult Services,Greenwich Home Support
CENTRE FOR ASSESSMENT LTD,"£1,384.02", 02/07/2018,Regeneration Enterprise and Sk,Other Services
LONDON CARE LTD,£549.44, 02/07/2018,Health and Adult Services,Greenwich Home Support
ADAPTIS SOLUTIONS LIMITED,"£3,853.30", 02/07/2018,Regeneration Enterprise and Sk,Services Private Contractor
LONDON CARE LTD,"£1,047.25", 02/07/2018,Health and Adult Services,Greenwich Home Support
ADAPTIS SOLUTIONS LIMITED,"£3,840.50", 02/07/2018,Regeneration Enterprise and Sk,Services Private Contractor
ELEANOR NURSING AND SOCIAL CARE LTD,£662.67, 02/07/2018,Health and Adult Services,Greenwich Home Support
QUAGGY DEVELOPMENT TRUST,£914.74, 02/07/2018,Regeneration Enterprise and Sk,Apprentice Costs
GREENWICH & DOCKLANDS FESTIVALS,"£2,302.60", 02/07/2018,Regeneration Enterprise and Sk,ILM & Trainee Pay
GREENWICH SERVICE PLUS LIMITED,"£2,995.04", 02/07/2018,Childrens Services,Professional Fees
TEACHERS` PENSIONS,£830.49, 02/07/2018,Childrens Services,Early Retirement Costs Ongoing
HOMESOLVE PROPERTY MANAGEMENT,"£4,803.50", 02/07/2018,Housing Services,Rents Other
CORAM,£540.00, 02/07/2018,Childrens Services,Publicitiy
RESTORE PLC T/A RESTORE RECORD MANAGEMENT,"£6,750.66", 02/07/2018,Chief Executives,Document Archive
RESTORE PLC T/A RESTORE RECORD MANAGEMENT,"£1,026.00", 02/07/2018,Chief Executives,Document Archive
REED SPECIALIST RECRUITMENT LTD,£924.42, 02/07/2018,Childrens Services,Agency Staff
REED SPECIALIST RECRUITMENT LTD,£996.56, 02/07/2018,Childrens Services,Agency Staff
CASTLE WATER LIMITED,£921.33, 02/07/2018,Comm Safety and Environment,Water
CHARTERED INSTITUTE OF ENVIRONMENTAL HEALTH,£588.00, 02/07/2018,Comm Safety and Environment,Subscriptions
GAD PA AGENCY,"£14,350.00", 02/07/2018,Health and Adult Services,Grants To Voluntary Organ
GREENWICH SERVICE PLUS LIMITED,"£1,063.01", 02/07/2018,Comm Safety and Environment,Vehicle Repair In House Trad
GREENWICH SERVICE PLUS LIMITED,£388.03, 02/07/2018,Comm Safety and Environment,Vehicle Repair In House Trad
GREENWICH SERVICE PLUS LIMITED,£216.00, 02/07/2018,Comm Safety and Environment,Vehicle Repair In House Trad
GREENWICH SERVICE PLUS LIMITED,"£3,725.41", 02/07/2018,Comm Safety and Environment,Equipment Repair
GREENWICH SERVICE PLUS LIMITED,"£1,811.70", 02/07/2018,Comm Safety and Environment,Equipment Repair
GREENWICH SERVICE PLUS LIMITED,£234.82, 02/07/2018,Comm Safety and Environment,Equipment Repair
GREENWICH SERVICE PLUS LIMITED,"£2,242.00", 02/07/2018,Comm Safety and Environment,Cleaning Serv In House Trad
REDACTED PERSONAL INFORMATION,"£2,600.00", 02/07/2018,Childrens Services,Children Looked After
ENGLISH HERITAGE TRUST,"£2,150.00", 02/07/2018,Comm Safety and Environment,Rents Other
MILTON PROPERTY INVESTMENTS LTD,"£12,343.86", 02/07/2018,Comm Safety and Environment,Rents Other
LINCOLN ANALYTICAL SERVICES LTD,£672.00, 02/07/2018,Comm Safety and Environment,Environment Monitoring
LIDOKA ESTATES LTD,"£40,000.00", 02/07/2018,Regeneration Enterprise and Sk,Rents Other
