name,Invoice Line Amount,Payment Date,Expenditure Category/Description,LA Department
CHOICE SUPPORT LTD,"2,207.79", 20/08/2019,Supported Living,Health and Adult Services
CHOICE SUPPORT LTD,"3,412.05", 20/08/2019,Supported Living,Health and Adult Services
CHOICE SUPPORT LTD,"2,627.22", 20/08/2019,Supported Living,Health and Adult Services
CHOICE SUPPORT LTD,571.14, 20/08/2019,Supported Living,Health and Adult Services
CHOICE SUPPORT LTD,"2,859.97", 20/08/2019,Supported Living,Health and Adult Services
CHOICE SUPPORT LTD,863.22, 20/08/2019,Supported Living,Health and Adult Services
CHOICE SUPPORT LTD,"2,589.66", 20/08/2019,Supported Living,Health and Adult Services
CHOICE SUPPORT LTD,"3,505.51", 20/08/2019,Supported Living,Health and Adult Services
CHOICE SUPPORT LTD,584.25, 20/08/2019,Supported Living,Health and Adult Services
CHOICE SUPPORT LTD,"1,344.88", 20/08/2019,Supported Living,Health and Adult Services
CHOICE SUPPORT LTD,"2,078.44", 20/08/2019,Supported Living,Health and Adult Services
CHOICE SUPPORT LTD,"2,275.40", 20/08/2019,Supported Living,Health and Adult Services
CHOICE SUPPORT LTD,"2,398.77", 20/08/2019,Supported Living,Health and Adult Services
CHOICE SUPPORT LTD,799.59, 20/08/2019,Supported Living,Health and Adult Services
FIRST STEP TRUST,"1,181.60", 12/08/2019,ILM & Trainee Pay,Regeneration Enterprise and Sk
FIRST STEP TRUST,"1,181.60", 12/08/2019,ILM & Trainee Pay,Regeneration Enterprise and Sk
FIRST STEP TRUST,"43,500.00", 12/08/2019,Printing,Health and Adult Services
FIRST STEP TRUST,"-36,250.00", 12/08/2019,Printing,Health and Adult Services
FIRST STEP TRUST,"1,181.60", 12/08/2019,ILM & Trainee Pay,Regeneration Enterprise and Sk
FIRST STEP TRUST,"1,181.60", 12/08/2019,ILM & Trainee Pay,Regeneration Enterprise and Sk
LEWISHAM SOUTHWARK COLLEGE,"2,720.00", 23/07/2019,MIsc,Childrens Services
LEWISHAM SOUTHWARK COLLEGE,"2,720.00", 23/07/2019,MIsc,Childrens Services
CAPITAL HOMECARE (UK) LIMITED,"1,158.36", 02/07/2019,Private Home Help Domest Misc,Health and Adult Services
GUY`S & ST THOMAS` NHS FOUNDATION TRUST,"8,562.41", 12/08/2019,Medical Services,Health and Adult Services
IMPERIAL COLLEGE HEALTHCARE NHS TRUST,"8,614.94", 12/08/2019,Medical Services,Health and Adult Services
