Creditor_Name ,Invoice Line Amount,Payment_Date,LA Department,Expenditure Category/Description
CALDER INSULATIONS LIMITED (JR FOWLER A/F),"£4,320.00", 01/10/2018,Safety,Capital Housing Revenue Acc
AIR SURVEYS LIMITED,£552.00, 01/10/2018,Asbestos,Capital Housing Revenue Acc
STATUS DESIGN ASSOCIATES LIMITED,"£3,600.00", 02/10/2018,Ext Site Surveys,Capital Housing Revenue Acc
A & T FLOORING LIMITED,"£6,898.80", 02/10/2018,Safety,Capital Housing Revenue Acc
WOODNUT CONSTRUCTION & DEVELOPMENTS LTD,"£11,589.60", 02/10/2018,Safety,Capital Housing Revenue Acc
PINNACLEESP LTD,£600.00, 04/10/2018,Ext Consultants Fees,Capital Housing Revenue Acc
ARCO PROFESSIONAL SAFETY SERVICES LIMITED,"£4,428.00", 04/10/2018,Safety,Capital Housing Revenue Acc
NIBLOCK ( BUILDERS ) LTD,"£191,670.04", 05/10/2018,Refurbishment,Capital Housing Revenue Acc
ARK BUILD PLC,"£48,944.95", 05/10/2018,Newbuild,Capital Housing Revenue Acc
RIVERSIDE ENVIRONMENTAL SERVICES LTD,"£14,964.00", 05/10/2018,Asbestos,Capital Housing Revenue Acc
SHARPE PRITCHARD LLP,"£1,228.80", 08/10/2018,Ext Legal Fees,Capital Housing Revenue Acc
SHARPE PRITCHARD LLP,"£1,041.60", 08/10/2018,Ext Legal Fees,Capital Housing Revenue Acc
SPEEDY FUELS & LUBRICANTS LLP,"£6,636.00", 08/10/2018,Heating,Capital Housing Revenue Acc
SPEEDY FUELS & LUBRICANTS LLP,-£240.00, 08/10/2018,Heating,Capital Housing Revenue Acc
SPEEDY FUELS & LUBRICANTS LLP,£200.00, 08/10/2018,Heating,Capital Housing Revenue Acc
SEE MEDIA LTD,"£3,677.26", 08/10/2018,Ext Consultants Fees,Capital Housing Revenue Acc
GERDA SECURITY PRODUCTS LTD,"£10,466.22", 09/10/2018,Safety,Capital Housing Revenue Acc
