name,Invoice Line Amount,Payment Date,Expenditure Category/Description,LA Department
ENVIRONMENT AGENCY,"44,086.25", 01/10/2019,TWA Levy,Chief Executives
ENVIRONMENT AGENCY,"1,036.25", 01/10/2019,SWA Levy,Chief Executives
GATENBY SANDERSON LTD,"9,600.00", 01/10/2019,Services Private Contractor,Chief Executives
HYDE HOUSING ASSOCIATION,"8,694.72", 01/10/2019,Service Charges,Health and Adult Services
HYDE HOUSING ASSOCIATION,"8,288.70", 01/10/2019,Service Charges,Health and Adult Services
TOTAL SPORTS GROUND SOLUTIONS LTD,"13,305.60", 01/10/2019,Other Services,Comm Safety and Environment
ANGELIKA WELZEL-CONNOLLY T/A DEMENTIA DIALOGUE,"2,850.00", 01/10/2019,Grants To Voluntary Organ,Health and Adult Services
TCS COMPUTER SERVICES LTD,"3,600.00", 01/10/2019,Computer Supplies & Stationery,Chief Executives
DNA LEGAL LTD,687.60, 01/10/2019,Professional Fees,Chief Executives
REDACTED PERSONAL INFORMATION,"4,745.00", 01/10/2019,Supported Living,Health and Adult Services
GREENWICH LEISURE LIMITED,"389,634.88", 01/10/2019,Services Private Contractor,Comm Safety and Environment
GREENWICH LEISURE LIMITED,"389,634.88", 01/10/2019,Services Private Contractor,Comm Safety and Environment
GREENWICH LEISURE LIMITED,"389,634.88", 02/10/2019,Services Private Contractor,Comm Safety and Environment
J B RINEY & CO LTD,"171,239.12", 01/10/2019,Expenditure Payments,Regeneration Enterprise Skills
MONDALE ESTATES LTD,"1,109.80", 01/10/2019,LC Independent Living,Childrens Services
MONDALE ESTATES LTD,887.84, 01/10/2019,Asylum Immigration,Childrens Services
MONDALE ESTATES LTD,887.84, 01/10/2019,Agency Placements,Childrens Services
MONDALE ESTATES LTD,"1,109.80", 01/10/2019,Asylum Immigration,Childrens Services
MONDALE ESTATES LTD,887.84, 01/10/2019,Asylum Immigration,Childrens Services
MONDALE ESTATES LTD,"1,109.80", 03/10/2019,LC Independent Living,Childrens Services
ACTION ON HEARING LOSS,"4,920.00", 01/10/2019,Services Private Contractor,Health and Adult Services
ACTION ON HEARING LOSS,"4,920.00", 01/10/2019,Services Private Contractor,Health and Adult Services
BRIDGE 86 LIMITED,"37,333.33", 01/10/2019,Other Agency Services,Health and Adult Services
MONDALE ESTATES LTD,"1,109.80", 01/10/2019,Agency Placements,Childrens Services
MONDALE ESTATES LTD,792.71, 01/10/2019,Asylum Immigration,Childrens Services
REDACTED PERSONAL INFORMATION,"3,996.00", 01/10/2019,Services Private Contractor,Health and Adult Services
REDACTED PERSONAL INFORMATION,"11,264.29", 01/10/2019,Services Private Contractor,Health and Adult Services
REDACTED PERSONAL INFORMATION,"3,800.00", 01/10/2019,Services Private Contractor,Health and Adult Services
REDACTED PERSONAL INFORMATION,"28,785.71", 01/10/2019,Agency Placements,Childrens Services
VOLUNTEERING MATTERS,"21,750.00", 01/10/2019,Grants To Voluntary Organ,Childrens Services
REDACTED PERSONAL INFORMATION,"4,201.43", 01/10/2019,Short Term Residential,Health and Adult Services
REDACTED PERSONAL INFORMATION,"4,201.43", 01/10/2019,Short Term Residential,Health and Adult Services
REDACTED PERSONAL INFORMATION,"2,015.42", 01/10/2019,Supported Living,Health and Adult Services
RESTORE PLC T/A RESTORE RECORD MANAGEMENT,"6,740.58", 01/10/2019,Document Archive,Chief Executives
REDACTED PERSONAL INFORMATION,"4,273.66", 01/10/2019,Services Private Contractor,Health and Adult Services
REDACTED PERSONAL INFORMATION,"4,497.60", 01/10/2019,MIsc,Housing Services
REDACTED PERSONAL INFORMATION,"1,750.00", 01/10/2019,MIsc,Housing Services
REDACTED PERSONAL INFORMATION,"4,384.29", 01/10/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"6,428.40", 01/10/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"3,200.00", 01/10/2019,Landlord Incentive Payments,Housing Services
REDACTED PERSONAL INFORMATION,"1,500.00", 01/10/2019,Landlord Incentive Payments,Housing Services
WHYTE & CO,"3,114.72", 01/10/2019,Student Award Payment,Chief Executives
WHYTE & CO,"-2,595.60", 01/10/2019,Student Award Payment,Chief Executives
REDACTED PERSONAL INFORMATION,"1,500.00", 01/10/2019,Landlord Incentive Payments,Housing Services
CHRYSALIS CARE (FOSTERING) LTD,"3,585.54", 01/10/2019,Agency Placements,Childrens Services
CHRYSALIS CARE (FOSTERING) LTD,"3,547.80", 01/10/2019,Agency Placements,Childrens Services
EQUALITEACH CIC,"11,700.00", 01/10/2019,Other Services,Comm Safety and Environment
GREENWICH SERVICE PLUS LIMITED,"3,931.63", 01/10/2019,Vehicle Hire for GSP Only,Health and Adult Services
CHRYSALIS CARE (FOSTERING) LTD,"3,697.99", 01/10/2019,Agency Placements,Childrens Services
REDACTED PERSONAL INFORMATION,"3,200.00", 01/10/2019,Landlord Incentive Payments,Housing Services
CHRYSALIS CARE (FOSTERING) LTD,"3,697.99", 01/10/2019,Agency Placements,Childrens Services
