Reference Number,Supplier Name,Value,Purchase Order Date,Description of Goods or Services,Local Authority Department
PO00028795,AP WILLIAMSON CONSULTANTS LTD,9000,23/07/2015,Plumstead Manor School - provision of oversight and qualtiy control in respect of roof repair works @ Plumstead Manor School ,Planned Maintenance
PO00028795,AP WILLIAMSON CONSULTANTS LTD,600,23/07/2015,"To carry out additional inspection and report in respect of the roof repair works @ Plumstead Manor School. ",Planned Maintenance
PO00032598,AF STARR BUILDING CONTRACTORS,29400,23/07/2015,DRES Ref: 2935 - please carry out works as to your quotation dated 25.9.14 for provision of a modular building extension and ground worksfor extra teaching space at Pount Park Nursery,Modernisation
PO00032598,AF STARR BUILDING CONTRACTORS,2940,23/07/2015,"Please raise additional PO in the sum of 2,940 (10%) for additional works as an increase to PO00032598 in respect of the installation of a modular building at Pound Park Nursery,",Modernisation
PO00033349,CAPITA IT SERVICES (BSF) LIMITED,15000,22/07/2015,"revenues and benefits SPS 0951 resource planning",Chief Executives
PO00033556,CIVICA UK LIMITED,20000,22/07/2015,"Revenues and Benefits SPS 0951 Resource Planning",Chief Executives
PO00033923,D2F FITNESS LTD,297,06/07/2015,55cm swiss ball Reebok,Modernisation
PO00033923,D2F FITNESS LTD,201.45,06/07/2015,65cm swiss ball reebok,Modernisation
PO00033923,D2F FITNESS LTD,457.26,06/07/2015,swiss ball stand reebok,Modernisation
PO00033923,D2F FITNESS LTD,1756.8,06/07/2015,step reebok,Modernisation
PO00033923,D2F FITNESS LTD,139.5,06/07/2015,power tube level 1 reebok,Modernisation
PO00033923,D2F FITNESS LTD,154.95,06/07/2015,power tube level 3 reebok,Modernisation
PO00033923,D2F FITNESS LTD,108.5,06/07/2015,power tube level 4 reebok,Modernisation
PO00033923,D2F FITNESS LTD,113.7,06/07/2015,power tube level 5 reebok,Modernisation
PO00033923,D2F FITNESS LTD,503.76,06/07/2015,rep set rack reebok,Modernisation
PO00033923,D2F FITNESS LTD,3487.5,06/07/2015,rep set reebok,Modernisation
PO00033923,D2F FITNESS LTD,194.46,06/07/2015,training bar rack holds up to 60 bars,Modernisation
PO00033923,D2F FITNESS LTD,124.2,06/07/2015,training bar 3kg,Modernisation
PO00033923,D2F FITNESS LTD,161.5,06/07/2015,training bar 4kg,Modernisation
PO00033923,D2F FITNESS LTD,198.2,06/07/2015,training bar 5kg,Modernisation
PO00033923,D2F FITNESS LTD,228.3,06/07/2015,training bar 6kg,Modernisation
PO00033923,D2F FITNESS LTD,252.1,06/07/2015,training bar 7kg,Modernisation
PO00033923,D2F FITNESS LTD,491.28,06/07/2015,handweight rack on wheels,Modernisation
PO00033923,D2F FITNESS LTD,84.3,06/07/2015,handweight 2kg pair,Modernisation
PO00033923,D2F FITNESS LTD,253,06/07/2015,handweight 3kg pair,Modernisation
PO00033923,D2F FITNESS LTD,168.7,06/07/2015,handweight 4kg pair,Modernisation
PO00033923,D2F FITNESS LTD,210.8,06/07/2015,handweight 5kg pair,Modernisation
PO00033923,D2F FITNESS LTD,940.55,06/07/2015,studio mats silver - reebok,Modernisation
PO00033923,D2F FITNESS LTD,232.5,06/07/2015,yoga mats thick grip mats - reebok,Modernisation
PO00033923,D2F FITNESS LTD,258.34,06/07/2015,multi mat storage rack - reebok,Modernisation
PO00033923,D2F FITNESS LTD,258.34,06/07/2015,medicine ball rack - holds 10 - silver - Reebok,Modernisation
PO00033923,D2F FITNESS LTD,93,06/07/2015,medicine ball 2kg reebok,Modernisation
PO00033923,D2F FITNESS LTD,124.02,06/07/2015,medicine ball 3kg reebok,Modernisation
PO00033923,D2F FITNESS LTD,93,06/07/2015,medicine ball 4kg reebok,Modernisation
PO00033923,D2F FITNESS LTD,113.68,06/07/2015,medicine ball 5kg reebok,Modernisation
PO00033923,D2F FITNESS LTD,668.75,06/07/2015,training gloves 12oz pair,Modernisation
PO00033923,D2F FITNESS LTD,535,06/07/2015,training glove 14oz pair,Modernisation
PO00033923,D2F FITNESS LTD,750,06/07/2015,free standing punch bag,Modernisation
PO00033923,D2F FITNESS LTD,1203.75,06/07/2015,hook and jab pads,Modernisation
PO00033923,D2F FITNESS LTD,323.42,06/07/2015,storage for boxing equipment - silver cage on wheels,Modernisation
PO00033923,D2F FITNESS LTD,155.1,06/07/2015,yoga blocks reebok,Modernisation
PO00033923,D2F FITNESS LTD,108.6,06/07/2015,yoga straps reebok,Modernisation
PO00033923,D2F FITNESS LTD,600,06/07/2015,yoga bolsters,Modernisation
PO00033923,D2F FITNESS LTD,323.42,06/07/2015,storage for yoga equipment - silver cage on wheels,Modernisation
PO00033923,D2F FITNESS LTD,50.26,06/07/2015,pilates ball 1.0kg,Modernisation
PO00033923,D2F FITNESS LTD,50.26,06/07/2015,pilates ball 1.5kg,Modernisation
PO00033923,D2F FITNESS LTD,343.75,06/07/2015,pilates ring,Modernisation
PO00033923,D2F FITNESS LTD,323.42,06/07/2015,storage for pilates equipment -0 silver cage on wheels,Modernisation
PO00033923,D2F FITNESS LTD,260.18,06/07/2015,VIPR 8kg,Modernisation
PO00033923,D2F FITNESS LTD,445.32,06/07/2015,VIPR 10kg,Modernisation
PO00033923,D2F FITNESS LTD,525.9,06/07/2015,VIPR 12kg,Modernisation
PO00033923,D2F FITNESS LTD,372.34,06/07/2015,VIPR 16kg,Modernisation
PO00033923,D2F FITNESS LTD,332.42,06/07/2015,storagre rak holds 8 - silver,Modernisation
PO00033923,D2F FITNESS LTD,186.5,06/07/2015,bosu,Modernisation
PO00033923,D2F FITNESS LTD,93,06/07/2015,kettleballs 4kg reebok,Modernisation
PO00033923,D2F FITNESS LTD,223.2,06/07/2015,kettleballs 8kg reebok,Modernisation
PO00033923,D2F FITNESS LTD,167.4,06/07/2015,kettleballs 12kg reebok,Modernisation
PO00033923,D2F FITNESS LTD,72.34,06/07/2015,kettleballs 16kg reebok,Modernisation
PO00033923,D2F FITNESS LTD,413.34,06/07/2015,storage rack holds 5 pairs silver reebok,Modernisation
PO00033923,D2F FITNESS LTD,23.65,06/07/2015,speed ladder,Modernisation
PO00033923,D2F FITNESS LTD,77.5,06/07/2015,skipping rope reebok,Modernisation
PO00033923,D2F FITNESS LTD,465,06/07/2015,"power band - assortment of strengths (10 x L1, 10 x L2, 10 x L3)",Modernisation
PO00033923,D2F FITNESS LTD,598,06/07/2015,water dumbells,Modernisation
PO00033923,D2F FITNESS LTD,140,06/07/2015,water woggles,Modernisation
PO00033923,D2F FITNESS LTD,500,06/07/2015,install,Modernisation
PO00033923,D2F FITNESS LTD,76,06/07/2015,Omron M3 intelli blood machine pressure machine,Modernisation
PO00033923,D2F FITNESS LTD,21.2,06/07/2015,omron large cuff,Modernisation
PO00033923,D2F FITNESS LTD,45.67,06/07/2015,"omron BF511 body composition monitor, turquoise",Modernisation
PO00033923,D2F FITNESS LTD,178,06/07/2015,seca 761 mechanical class III floor scaole,Modernisation
PO00033923,D2F FITNESS LTD,10,06/07/2015,"carriage chargereq dated 9.2.15",Modernisation
PO00034837,ACS BUSINESS SUPPLIES LTD,5926.8,28/07/2015,Samsung Galxy Note 10.1 16GB wifi,Childrens Services
PO00034837,ACS BUSINESS SUPPLIES LTD,332.52,28/07/2015,"book cover whiteprices amended as lower than quoted",Childrens Services
PO00034837,ACS BUSINESS SUPPLIES LTD,8.95,28/07/2015,"delivery chargereq dated 20.3.15",Childrens Services
PO00035845,OAKS DAMP PROOFING CO LTD,5512.6,29/07/2015,"Lemonwell Court, Lemonwell Drive, SE9 2PF.Damp proofing works to  ground floor property as per indicated Quotation.A4 Req dated 6.5.15",Housing Services HRA
PO00035845,OAKS DAMP PROOFING CO LTD,300.8,29/07/2015,Order raised to process additional works as per invoice no 2594 and Invoice 2586 ,Housing Services HRA
PO00036566,BALLICOM LTD,6100,28/07/2015,"Greenwich Centre, 12 Lambarde Square, SE10 9GB - for the supply of a digital signage screen for the Greenwich Centre library as detailed in the attached quote 22084req dated 9.6.15",Modernisation
PO00036566,BALLICOM LTD,6.64,28/07/2015,"carriage charge carriage charge not on order but signed off by user on invoice",Modernisation
PO00036787,CHRISTOPHER POOLE,8400,13/07/2015,"advocate fees req dated 15.6.15

new req dated 13.7.15 provided for total vallue of 8400",Chief Executives
PO00037057,NORTHGATE PUBLIC SERVICES (UK) LTD,8077.9,02/07/2015,CR69346 - Change request to move Eltham PCD IT equipment to Orangery Lane. RP04112.,Childrens Services
PO00037083,NTA MONITOR LIMITED,11250,03/07/2015,"2015 IT health check RP04109",Chief Executives
PO00037084,T BROWN GROUP LIMITED,713448.72,03/07/2015,"contract id 048019 - to supply various disabled adaptations to RBG residents contract 2617req dated 15.6.15",Capital Housing Revenue Acc
PO00037085,T BROWN GROUP LIMITED,145783.17,03/07/2015,"contract id 048019 - to supply various disabled adaptation repairs to RBG residentscontract 2618req dated 15.6.15",Capital Housing Revenue Acc
PO00037086,GREENWICH CARERS CENTRE,35000,03/07/2015,"order is for a variation of contract with Greenwich Carers Centre - extending the provision for up to 8 months from 1st April 2015. variation report provided. maxc value of extension is 35,000.00 this may be less as the contract canb e terminated from 31st August 2015 with 1 months notice.  ",Adult and Older People
PO00037087,BEVAN BRITTAN LLP,140157.7,03/07/2015,"property searches litigation APPS settlement moniesreq dated 25.6.15",Regeneration Enterprise and Sk
PO00037088,THOMSON REUTERS(PROFESSIONAL) UK LIMITED,27966,03/07/2015,"contract id 050758 - annual subscription Westlaw WEB2 block Westlaw UK servicesreq dated 13.5.15",Chief Executives
PO00037089,IKEN BUSINESS LTD,18816.8,03/07/2015,"contract id 050587 - Iken case management annual licence fee 12 months to 30.4.16 req dated 8.6.15",Chief Executives
PO00037092,QUAGGY DEVELOPMENT TRUST GWCC,201307.5,03/07/2015,"Contract ID 053772 - RBG Children`s Centres-Quaggy Development Trust Instalment 4 April to June 2015 Area West A4 Req dated 9.6.15",Childrens Services
PO00037093,P & R INSTALLATION CO LTD,72125,03/07/2015,"variation to major work (void properties) contract to accommodate variations.  less than 10% of contract value ds004694 previous po00033885 contract id 051692 req dated 10.6.15",Housing Services
PO00037098,POTTER RAPER PARTNERSHIP,61750,06/07/2015,"to provide planning consultancy services req dated 11.6.15",Capital Housing Revenue Acc
PO00037099,JOHN M HAYES PARTNERSHIP LIMITED,12104,06/07/2015,settlement req dated 30.6.15,Chief Executives
PO00037100,ANDREW SHARLAND,12810,06/07/2015,"advocates fees RBG v secretary of state for communities CO/2660/2015 req dated 29.6.15",Chief Executives
PO00037120,CRI,1366920,06/07/2015,"Contract ID 053131 - Recovery Base Drug And Alcohol Treatment Service Recovery based prescribing drug and alcohol service Includes: Main Contract 1,291,920, SAM administration 25,000, Alcohol detox addit funds 50,000",Adult and Older People
PO00037138,PENNA PLC,104140,07/07/2015,"DRES Ref: 5044 - appointment of a senior agency staff and a variation to  an existing appointment for the directorate of regeneration enterprise and skills req dated 18.6.15",Regeneration Enterprise and Sk
PO00037138,PENNA PLC,104140,07/07/2015,"DRES Ref: 5044 - appointment of a senior agency staff and a variation to  an existing appointment for the directorate of regeneration enterprise and skills req dated 18.6.15",Regeneration Enterprise and Sk
PO00037146,EGBERT H TAYLOR & COMPANY,12026.3,07/07/2015,"10 x 500 litre Towing Green Bin as per spec 10 x 1100 litre Towing Blue Bin as per spec 10 x 1100 litre Towing Black Bin as per spec ESPO Framework 860 Issue No 1 Refuse & Recycling t",Comm Safety and Environment
PO00037147,CITY HEIGHTS(LONDON)LTD P WALKER A-F,1000000,07/07/2015,"Carry out a Term Contract for Damp Related Repair Works to various Occupied Council Dwellings in th West, South, East and Central Areas.  The works shall be completed for the  mounts hsown in the pre-priced Damp Works Schedule of Rates adjusted to Plus Twelve Percent (+12%). Total contract value shall not exceed value of PO. Awaiting Contract ID, not generated yet..",Housing Services
PO00037148,P & R INSTALLATION CO LTD,1000000,07/07/2015,"Carry out a Term Contract for Damp Related Repair Works to various OCCUPIED Council dwellings in the West, South, East and Central areas.

The works shall be completed for the amounts shown in the pre-priced Damp Works Schedule of Rates adjusted to Plus Twelve Percent (+2.5%).

Total contract value shall not exceed value of PO.Contract ID cannot be generated-",Housing Services
PO00037182,MASHER BROTHERS LTD,74135,08/07/2015,"Birchmere Depot - the supply and installation of passive and mechanical ventilation as part of a EWI programme in accordance with the supplied specification",Capital Housing Revenue Acc
PO00037189,WOLSELEY UK LTD (VARIOUS SUPPLIES),274861.74,08/07/2015,Contract ID 020268 - Stores Outsourcing Partnership Monthly Consolidated Invoice for June 2015 Trading as per invoice dated 3rd of July 2015,Systems Control Accounts
PO00037191,VOICEABILITY ADVOCACY,76049,08/07/2015,"national health service complaints advocacy service for Greenwich year three req dated 2.6.15",Housing Services
PO00037193,PROLOJIK LIMITED,7150,08/07/2015,"DRES Ref: 5056 -  Woolwich Centre - one year maintenance contract 1.7.15 to 31.6.16 - lighting control system at the woolwich centre, se18 6hq",Regeneration Enterprise and Sk
PO00037205,MARTIN ARNOLD LTD,6498.46,08/07/2015,"DRES Ref: 5216 - carry out access and audits at 7GLO properties as per our instruction and your quote dated 9.4.315 req dated 1.7.15",Adult and Older People
PO00037279,RACHEL I J ASHWORTH,13500,10/07/2015,"delivery of welfare reform and mental health projects 1st APril to June 30th req dated 3.7.15",Adult and Older People
PO00037281,KCA (UK),315000,10/07/2015,"pament for young people`s substance misuse service: Q1 apr - jun 2015 Q2 jul - sep 2015 Q3 oct - dec 2015 4 jan - mar 16 req dated 29.4.15",Childrens Services
PO00037283,BAXTER COMMUNICATIONS LTD,5122,30/09/2015,"DRES Ref: 5211 -  Invicta School Deptford, Benbow Street, SE8 - for installation of IT/data network to phase 1 of Invicta School Deptford project as per revised quotation dated 12.6.315.  works to be coordinated with main contractor Probuild completion date, programmed at present for 17th July,req dated 25.6.15 DRES Ref: 6041 - PB409 IT data network installation on Phase 1 of site refurbishment. For additional cost of 238 associated with the above works.",Modernisation
PO00037284,LOCAL GOVERNMENT INFORMATION UNIT,18995,13/07/2015,"affiliation fee with LGiU yearly fee req dated 29.6.15",Chief Executives
PO00037285,ADFAM NATIONAL,21000,13/07/2015,"contract id 050084 - carers support service for drug and alcohol Greenwich req dated 18.6.15",Adult and Older People
PO00037286,FENSCAPES LTD,90000,13/07/2015,"Fenceworks as per report dated 7th July 2015. Req Dated 8.7.15",Housing Services HRA
PO00037287,ENVIRO TECHNOLOGY SERVICES PLC,53601,13/07/2015,"provision of a maintenance service for RBG monitoring stations for air quality total cost exc vat 53,601.00 for 1 year contract from 1.7.15 dcr360452",Comm Safety and Environment
PO00037288,ROYAL MAIL GROUP LTD,5235.3,13/07/2015,"Royal Mail - As per invoice 9050005931 dated 15.6.15 Req Dated 19.6.15",Chief Executives
PO00037288,ROYAL MAIL GROUP LTD,1041.19,13/07/2015,"Royal Mail - As per invoice 9050005931 dated 15.6.15 Req Dated 19.6.15",Chief Executives
PO00037289,FINANCIAL DATA MANAGEMENT PLC,14982.31,13/07/2015,"printing and production of parliamentary postal vote stationery and enclosure. Eltham constituency and Greenwich and Woolwich constituency Postal ballot papers to be inluded in postal vote packs Delivery of spare stationey stock for reissue to Town Hall Whole cost to be recovered from funding government department",Chief Executives
PO00037290,FINANCIAL DATA MANAGEMENT PLC,7435.15,13/07/2015,"printing and production of parliamentary postal vote stationery and enclosure. Eltham constituency and Greenwich and Woolwich constituency Postal ballot papers to be inluded in postal vote packs Delivery of polling station ballot papers  to Town Hall Whole cost to be recovered from funding government department req dated 22.6.15",Chief Executives
PO00037291,HYDROTECH SERVICES LTD,7884,13/07/2015,"DRES Ref: 5111 - Kidbrooke Park Primary School, Hargood Road SE3 8HS Drain and disconnect 3 tanks in tank room. Supply and install: Tank Supports, 1 x New Pre-Insulated, Sectional Tank (2.0 x 1.5 x 1.0m). Plumb Services, New Valves and Chlorinat the tank. As per your quotation ref QCF/15/448. Req Dated 21.5.15",Planned Maintenance
PO00037292,AGILITY ECO SERVICES LTD,9700,13/07/2015,"DRES Ref: 5110 - To provide advice on the most suitable properties to install solar panels to undertake a desktop study and visual inspection of the properties and to produce a technical specification document to be used during tendering to enable the most appropriate equipment to be supplied and fitted. Req Dated 25.6.15",Capital Housing Revenue Acc
PO00037301,GREENWICH ACTION FOR VOLUNTARY SERVICES,5000,13/07/2015,"provision of small grants fund for tenant and resident associations. grants from 200 - 500 available to fund events and activities that alleviate social isolation and combat loneliness. missioned through the social isolation strategy group and funded via the better care fund management fee for GAVS to administer the grant applications and finances, included within the stated amount",Adult and Older People
PO00037302,GREENWICH ACTION FOR VOLUNTARY SERVICES,10000,13/07/2015,"to plan and administer a training programme for the private, voluntary and independent sector in Greenwich req dated 29.6.15",Chief Executives
PO00037303,EAST,139000,13/07/2015,"DRES Ref: 4980 - Design and consultation for Eltham High St Major Scheme as per contract specfication req dated 12.6.15",Transportation Schemes
